"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0036 (3.82%)","0.0956 (-0.04%)","0.0029 (4.98%)","0.0593 (-0.41%)"
0.1,0.01,"0.0042 (4.4%)","0.0954 (-0.05%)","0.0029 (4.83%)","0.0592 (-0.41%)"
0.1,0.1,"0.0027 (2.79%)","0.0975 (-0.03%)","0.0027 (4.56%)","0.0601 (-0.4%)"
1.0,0.001,"0.0207 (2.52%)","0.8214 (-0.18%)","0.0143 (2.6%)","0.5518 (-0.45%)"
1.0,0.01,"0.0236 (2.87%)","0.8199 (-0.18%)","0.0127 (2.3%)","0.5511 (-0.45%)"
1.0,0.1,"0.0313 (3.75%)","0.8346 (-0.17%)","0.0122 (2.17%)","0.5617 (-0.44%)"
10.0,0.001,"0.4194 (4.67%)","8.9708 (-0.1%)","0.321 (5.03%)","6.3854 (-0.36%)"
10.0,0.01,"1.2573 (14.01%)","8.9768 (-0.1%)","0.7459 (11.61%)","6.4274 (-0.36%)"
10.0,0.1,"1.264 (13.19%)","9.5853 (-0.04%)","1.0709 (16.21%)","6.6049 (-0.34%)"
