"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0036 (3.54%)","0.1024 (0.02%)","0.0038 (2.66%)","0.144 (0.44%)"
0.1,0.01,"0.0035 (3.42%)","0.1019 (0.02%)","0.0039 (2.69%)","0.1437 (0.44%)"
0.1,0.1,"0.0029 (2.84%)","0.104 (0.04%)","0.003 (2.07%)","0.1464 (0.46%)"
1.0,0.001,"0.0241 (2.3%)","1.0472 (0.05%)","0.0554 (5.03%)","1.102 (0.1%)"
1.0,0.01,"0.0262 (2.5%)","1.0469 (0.05%)","0.0574 (5.21%)","1.1018 (0.1%)"
1.0,0.1,"0.0425 (3.99%)","1.0639 (0.06%)","0.067 (5.99%)","1.1178 (0.12%)"
10.0,0.001,"0.7951 (7.8%)","10.1936 (0.02%)","0.4991 (6.15%)","8.1113 (-0.19%)"
10.0,0.01,"1.8685 (18.11%)","10.3178 (0.03%)","1.3274 (16.36%)","8.1139 (-0.19%)"
10.0,0.1,"1.4642 (14.15%)","10.3493 (0.03%)","1.2993 (15.74%)","8.2533 (-0.17%)"
