"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0051 (5.27%)","0.0961 (-0.04%)","0.0041 (5.27%)","0.0777 (-0.22%)"
0.1,0.01,"0.0045 (4.73%)","0.0959 (-0.04%)","0.0044 (5.66%)","0.0776 (-0.22%)"
0.1,0.1,"0.0039 (4.02%)","0.0974 (-0.03%)","0.0035 (4.43%)","0.079 (-0.21%)"
1.0,0.001,"0.0438 (4.96%)","0.8837 (-0.12%)","0.061 (6.45%)","0.9452 (-0.05%)"
1.0,0.01,"0.0373 (4.22%)","0.8842 (-0.12%)","0.0612 (6.47%)","0.9458 (-0.05%)"
1.0,0.1,"0.0388 (4.32%)","0.897 (-0.1%)","0.0608 (6.3%)","0.9654 (-0.03%)"
10.0,0.001,"0.4004 (4.29%)","9.326 (-0.07%)","0.8188 (6.12%)","13.3751 (0.34%)"
10.0,0.01,"1.377 (14.4%)","9.5643 (-0.04%)","2.1397 (15.74%)","13.5946 (0.36%)"
10.0,0.1,"1.2076 (12.69%)","9.514 (-0.05%)","1.4041 (10.36%)","13.5552 (0.36%)"
