"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0046 (4.85%)","0.0949 (-0.05%)","0.005 (4.34%)","0.1156 (0.16%)"
0.1,0.01,"0.0048 (5.09%)","0.0948 (-0.05%)","0.0048 (4.11%)","0.1156 (0.16%)"
0.1,0.1,"0.0033 (3.42%)","0.0966 (-0.03%)","0.0041 (3.46%)","0.1172 (0.17%)"
1.0,0.001,"0.0494 (6.64%)","0.7441 (-0.26%)","0.0497 (5.13%)","0.9696 (-0.03%)"
1.0,0.01,"0.0472 (6.34%)","0.7446 (-0.26%)","0.0505 (5.2%)","0.9716 (-0.03%)"
1.0,0.1,"0.0388 (5.16%)","0.7522 (-0.25%)","0.0616 (6.25%)","0.9856 (-0.01%)"
10.0,0.001,"0.4392 (6.84%)","6.4223 (-0.36%)","1.0239 (10.74%)","9.5348 (-0.05%)"
10.0,0.01,"1.0802 (16.74%)","6.4543 (-0.35%)","1.7495 (18.27%)","9.5762 (-0.04%)"
10.0,0.1,"0.8627 (13.16%)","6.5565 (-0.34%)","1.1426 (11.8%)","9.6806 (-0.03%)"
