"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0038 (3.78%)","0.1015 (0.01%)","0.0039 (2.75%)","0.1426 (0.43%)"
0.1,0.01,"0.0034 (3.35%)","0.1012 (0.01%)","0.004 (2.84%)","0.1423 (0.42%)"
0.1,0.1,"0.0032 (3.06%)","0.1031 (0.03%)","0.0032 (2.23%)","0.1448 (0.45%)"
1.0,0.001,"0.033 (3.11%)","1.0612 (0.06%)","0.0513 (4.59%)","1.1187 (0.12%)"
1.0,0.01,"0.0309 (2.92%)","1.0611 (0.06%)","0.0516 (4.61%)","1.1195 (0.12%)"
1.0,0.1,"0.0373 (3.46%)","1.077 (0.08%)","0.0649 (5.68%)","1.1427 (0.14%)"
10.0,0.001,"1.1722 (9.09%)","12.889 (0.29%)","0.7209 (7.1%)","10.1514 (0.02%)"
10.0,0.01,"2.5172 (19.25%)","13.0774 (0.31%)","1.7822 (17.72%)","10.0601 (0.01%)"
10.0,0.1,"1.4161 (10.74%)","13.186 (0.32%)","1.3224 (12.77%)","10.3549 (0.04%)"
