"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0041 (4.22%)","0.0973 (-0.03%)","0.0037 (3.84%)","0.0973 (-0.03%)"
0.1,0.01,"0.003 (3.13%)","0.0972 (-0.03%)","0.004 (4.09%)","0.0971 (-0.03%)"
0.1,0.1,"0.0021 (2.09%)","0.0984 (-0.02%)","0.0031 (3.16%)","0.0986 (-0.01%)"
1.0,0.001,"0.0357 (4.09%)","0.8737 (-0.13%)","0.0398 (4.55%)","0.8743 (-0.13%)"
1.0,0.01,"0.0281 (3.22%)","0.8732 (-0.13%)","0.0366 (4.18%)","0.8744 (-0.13%)"
1.0,0.1,"0.032 (3.61%)","0.8881 (-0.11%)","0.0393 (4.39%)","0.8957 (-0.1%)"
10.0,0.001,"0.7452 (7.9%)","9.4368 (-0.06%)","0.5872 (6.22%)","9.4348 (-0.06%)"
10.0,0.01,"1.6334 (17.08%)","9.5614 (-0.04%)","1.5661 (16.54%)","9.4692 (-0.05%)"
10.0,0.1,"1.0408 (10.74%)","9.6898 (-0.03%)","1.1073 (11.61%)","9.5376 (-0.05%)"
