"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.0048 (4.72%)","0.1018 (0.02%)","0.0054 (4.33%)","0.1257 (0.26%)"
0.1,0.01,"0.0049 (4.84%)","0.1015 (0.02%)","0.0069 (5.5%)","0.1254 (0.25%)"
0.1,0.1,"0.0032 (3.11%)","0.104 (0.04%)","0.0041 (3.17%)","0.1278 (0.28%)"
1.0,0.001,"0.0433 (4.21%)","1.0292 (0.03%)","0.0659 (4.7%)","1.4001 (0.4%)"
1.0,0.01,"0.0329 (3.22%)","1.0227 (0.02%)","0.062 (4.43%)","1.3978 (0.4%)"
1.0,0.1,"0.0639 (6.16%)","1.0388 (0.04%)","0.1151 (8.12%)","1.4186 (0.42%)"
10.0,0.001,"0.5283 (5.23%)","10.1071 (0.01%)","1.1261 (7.59%)","14.8327 (0.48%)"
10.0,0.01,"1.6022 (15.63%)","10.2493 (0.02%)","2.6965 (17.93%)","15.0424 (0.5%)"
10.0,0.1,"1.2363 (11.82%)","10.4593 (0.05%)","1.5498 (10.24%)","15.1325 (0.51%)"
